Filename,Source IP,Country,ISP
00023.b6d27c684f5fc803cfa1060adb2d0805.txt,135.5.185.20,United States,Nokia of America Corporation
00024.6b5437b14d403176c3f046c871b5b52f.txt,65.217.159.103,United States,Verizon Business
00025.619ab8051359048795e3cd09e82ad1a0.txt,61.129.68.17,China,China Telecom (Group)
00026.da18dbed27ae933172f7a70f860c6ad0.txt,64.86.155.179,United States,TATA COMMUNICATIONS (AMERICA) INC
00027.d1d0f97e096fe08fc80a4939355759e7.txt,169.254.6.16,Unknown,Unknown
00028.ace98eff213f4e6314b5571aece625e1.txt,67.217.14.91,United States,TDS TELECOM
00029.de865ad8d5ad0df985ae2f72388befba.txt,172.191.119.34,United States,Microsoft
00030.0c9cdd9d4025bd55dac02719ec8d29dc.txt,64.251.22.98,United States,Infolink Global Corporation
00031.a78bb452b3a7376202b5e62a81530449.txt,62.255.12.114,United Kingdom,Virgin Media Business
00032.7b07a09236ce9feb12d80197144d3206.txt,169.254.6.21,Unknown,Unknown
00033.9babb58d9298daa2963d4f514193d7d6.txt,32.22.11.228,United States,"AT&T Enterprises, LLC"
00034.8e582263070076dfe6000411d9b13ce6.txt,192.96.85.131,South Africa,CIMple Technology
00035.7ce3307b56dd90453027a6630179282e.txt,61.104.101.163,South Korea,SK-TELECOM
00036.256602e2cb5a5b373bdd1fb631d9f452.txt,209.197.199.5,United States,Cisco Webex LLC
00037.21cc985cc36d931916863aed24de8c27.txt,194.44.46.21,Ukraine,LLC EKSINTECH
00038.8d93819b95ff90bf2e2b141c2909bfc9.txt,140.99.35.2,United Arab Emirates,Internet Utilities NA LLC
00039.889d785885f092c269741b11f2124dce.txt,204.80.109.18,United States,"Zoom Video Communications, Inc"
00040.949a3d300eadb91d8745f1c1dab51133.txt,61.50.141.181,China,China Unicom Beijing Province Network
00041.f1b3402799046db3c1f143a911dc085d.txt,61.50.141.181,China,China Unicom Beijing Province Network
00042.3e934ba4075f82283d755174d2642b76.txt,67.217.14.249,United States,TDS TELECOM
00043.548c447db5d9ba3f5546de96baa9b0e6.txt,206.97.9.2,United States,"CenturyLink Communications, LLC"
00044.9eece8e53a8982c26558b9eb38230bb8.txt,211.97.147.11,China,CHINA UNICOM China169 Backbone
00045.7282c2c4e009744f2f3450d370009235.txt,169.254.6.17,Unknown,Unknown
00046.e0fd04360622dbe9250380447f6465cc.txt,4.40.13.154,United States,"Level 3 Communications, Inc."
00047.0d7a240951e460b5884a8886ee64a8c3.txt,64.25.38.71,Taiwan,NC Taiwan Co
00048.8a64080dbd9d868358a22b655fb1b1cd.txt,130.13.123.55,United States,CenturyLink Communications
00049.09e42d433e0661f264a25c7d4ed6e3ea.txt,198.250.227.71,United States,DoD Network Information Center
00050.45de99e8c120fddafe7c89fb3de1c14f.txt,172.192.76.66,Japan,Foxtel ISP
00051.fd20658f0e586d1f27f9396401f4981c.txt,206.97.9.2,United States,"CenturyLink Communications, LLC"
00052.edb775ef7470f35cd593d07e5a0466a8.txt,202.108.221.18,China,China Unicom Beijing Province Network
00053.d88d8b162ca1b7108221fb338cd7d0a5.txt,24.197.77.145,United States,Charter Communications
00054.62863160db27f89df8c73275b6dae134.txt,64.25.38.83,Taiwan,NC Taiwan Co
00055.58adfd0c60ebc04370658a76b9352aa1.txt,209.216.124.212,Canada,TelMAX Inc.
00056.c56d61cadd81b4ade0030c8dee384704.txt,207.8.198.15,United States,"Amazon.com, Inc."
00057.0a2e17bde9485e999ac2259df38528e2.txt,64.25.38.75,Taiwan,NC Taiwan Co
00058.64bb1902c4e561fb3e521a6dbf8625be.txt,172.190.236.106,United States,Microsoft
00059.dc5b9ea22c6848c97871f0d9576cc931.txt,196.144.50.152,Egypt,Vodafone Data
00060.ec71d52a6f585ace52f4a2a2be2adfce.txt,200.69.146.130,Argentina,Telmex Argentina S.A
